# environment: cpu=32 ram=251174MB disk=263611MB gpu=2xNVIDIA_A100-SXM4-80GB python=3.12.12 network=disabled_by_policy
# metric_direction: lower
# mode: loop
# run_tag: qwen3-4b-layer17-qproj-deploy-objective
# parallel: serial
# web_search: disabled
# goal: 持续优化 Qwen3-4B layer17 q_proj SAE 部署 objective（latest_exceed 语义）
# scope: research/deploy_objective_autoresearch/**,research/autoresearch_runs/qwen3-4b-layer17-qproj-deploy-objective/**,checkpoints/qwen3-4B/deploy_objective_autoresearch/**,tests/research/test_deploy_objective_*.py
# repos_json: [{"path":"/root/sparsify-ascend","role":"primary","scope":"research/deploy_objective_autoresearch/**,research/autoresearch_runs/qwen3-4b-layer17-qproj-deploy-objective/**,checkpoints/qwen3-4B/deploy_objective_autoresearch/**,tests/research/test_deploy_objective_*.py"}]
# metric: objective = total_cost_ratio + latest_exceed_alpha_0.50
# verify: python -m research.deploy_objective_autoresearch.main metric --run-root research/autoresearch_runs/qwen3-4b-layer17-qproj-deploy-objective --bootstrap-if-missing
# stop_condition: manual_stop_or_inner_run_finished
# execution_policy: danger_full_access
iteration	commit	metric	delta	guard	status	description
0	cbcdd1e3ceffaab119a7b6bdbfbfd8f1db338017	0.5824352815322876	0	-	baseline	Baseline inner deploy-objective metric from fresh trial_0001 at the first 15M-token checkpoint using latest_exceed_alpha_0.50 semantics.
1	cbcdd1e3ceffaab119a7b6bdbfbfd8f1db338017	0.5752488687210083	-0.0071864128112793	-	keep	Continue trial_0001 from 15M to 30M tokens on the baseline K80/NUM_EXPERTS326/LATENTS_PER_EXPERT96 recipe; latest_exceed objective improved and the scheduler retained continue_current for the same trial.
2	cbcdd1e3ceffaab119a7b6bdbfbfd8f1db338017	0.5747441365890503	-0.000504732131958	-	keep	trial_0001 second retained checkpoint on the baseline K80/NUM_EXPERTS326/LATENTS_PER_EXPERT96 recipe reduced the latest-exceed deploy objective from 0.5752488687 to 0.5747441366 while staying on the same trial.
3	cbcdd1e3ceffaab119a7b6bdbfbfd8f1db338017	0.5721993460826874	-0.0025447905063629	-	keep	Continue trial_0001 from 30M to 45M tokens on the unchanged baseline recipe; latest_exceed objective improved again and the scheduler retained continue_current for a fourth 15M segment.
4	cbcdd1e3ceffaab119a7b6bdbfbfd8f1db338017	0.5736412420444489	+0.0014418959617615	-	discard	Continue trial_0001 from 45M to 60M tokens on the unchanged baseline recipe; the completed segment regressed from the retained 45M objective and the inner scheduler stopped the trial to spawn a new candidate.
5	cbcdd1e3ceffaab119a7b6bdbfbfd8f1db338017	0.5853948151779175	+0.0131954690952301	-	discard	Run trial_0002 at K=88 through its first 15M-token checkpoint; the higher-cost candidate stayed well above the retained objective even though the inner heuristic kept it alive for another checkpoint before making a stop/spawn decision.
6	cbcdd1e3ceffaab119a7b6bdbfbfd8f1db338017	0.5783373272132873	+0.0061379811305999	-	discard	Continue trial_0002 from 15M to 30M tokens at K=88; the trial improved relative to its own first checkpoint but still remained materially above the retained deploy objective, so the outer loop discards it.
7	cbcdd1e3ceffaab119a7b6bdbfbfd8f1db338017	0.5721993460826874	0	-	refine	[REFINE] Re-read recent deploy-objective rows and shift next-spawn strategy toward cheaper-first exploration: the 45M->60M continuation of K=80 regressed and the more expensive K=88 follow-up stayed above the retained 0.5721993461 objective after two checkpoints, so fix proposal generation to consider the just-failed trial context instead of only the incumbent.
8	cbcdd1e3ceffaab119a7b6bdbfbfd8f1db338017	0.5751874005508423	+0.0029880544681549	-	discard	Continue trial_0002 from 30M to 45M tokens at K=88 after the proposal-policy refine; the latest-exceed objective improved from 0.5783373272 to 0.5751874006, but it still remained above the retained 0.5721993461 deploy objective, so the outer loop discards this checkpoint even though the inner scheduler kept the same trial alive for another 15M segment.
9	cbcdd1e3ceffaab119a7b6bdbfbfd8f1db338017	0.5766266739082336	+0.0044273278255462	-	discard	Continue trial_0002 from 45M to 60M tokens at K=88; the segment regressed from its 45M checkpoint and ended at 0.5766266739, so the inner scheduler stopped the trial for weak objective/no meaningful recent gain while the outer loop records another discard against the retained 0.5721993461 deploy objective.
